amph_id,mouse_name
bf_00021764,Arl5b
bf_00021764,Arl5a
bf_00021764,Arl5c
bf_00010398,Gnaz
bf_00010398,Gnao1
bf_00007762,Gnat3
bf_00007762,Gnat1
bf_00007762,Gnat2
bf_00007762,Gnai2
bf_00007762,Gnai3
bf_00007762,Gnai1
bf_00006189,Anxa5
bf_00006189,Anxa4
bf_00006189,Anxa11
bf_00006053,Anxa7
bf_00025186,Dpys
bf_00000161,Dpysl5
bf_00023155,Dpysl3
bf_00023155,Dpysl4
bf_00023155,Dpysl2
bf_00023155,Crmp1
bf_00022865,Dnah7a
bf_00022865,Dnah7b
bf_00022865,Dnah7c
bf_00008000,Dnah12
bf_00007067,Dnah6
bf_00024482,Dnah1
bf_00017056,Aldh1b1
bf_00017056,Aldh2
bf_00005560,Spink1
bf_00005560,Spink4
bf_00005560,Spink2
bf_00005560,Spink7
bf_00005560,Spink6
bf_00005560,Spink12
bf_00005560,Gm10267
bf_00010768,Pgbd1
bf_00011330,Sycp1
bf_00008763,Slc6a1
bf_00006565,Slc6a6
bf_00006565,Slc6a12
bf_00006565,Slc6a13
bf_00026363,Ppig
bf_00006982,Ppia
bf_00026414,Hspa8
bf_00001644,Hspa2
bf_00001644,Hspa1l
bf_00001644,Hspa1b
bf_00001644,Hspa1a
bf_00011314,Hspa5
bf_00025938,S1pr3
bf_00025938,S1pr5
bf_00025938,S1pr1
bf_00025938,S1pr2
bf_00025938,S1pr4
bf_00025938,Lpar3
bf_00025938,Lpar2
bf_00009642,7-Sep
bf_00016771,2-Sep
bf_00016773,1-Sep
bf_00016773,5-Sep
bf_00016773,4-Sep
bf_00002613,Slc5a6
bf_00026520,Mmp3
bf_00026520,Mmp10
bf_00026520,Mmp12
bf_00026520,Mmp27
bf_00026520,Mmp8
bf_00026520,Mmp1b
bf_00026520,Mmp1a
bf_00026520,Mmp20
bf_00026520,Mmp13
bf_00005304,Htra2
bf_00014664,Cntn2
bf_00014664,Cntn1
bf_00014664,Cntn6
bf_00014664,Cntn4
bf_00014664,Cntn3
bf_00014664,Cntn5
bf_00018096,Rbmxl2
bf_00018096,Rbmxl1
bf_00018096,Rbmx
bf_00022777,Slc4a5
bf_00022777,Slc4a4
bf_00022777,Slc4a9
bf_00022777,Slc4a8
bf_00022777,Slc4a10
bf_00022777,Slc4a7
bf_00008431,Pkhd1
bf_00023111,Avil
bf_00023111,Vil1
bf_00023111,Vill
bf_00006503,Gsn
bf_00006503,Scin
bf_00006709,Ren2
bf_00006709,Ren1
bf_00006709,Pga5
bf_00006709,Cym
bf_00006709,Ctse
bf_00012656,Smad5
bf_00012656,Smad1
bf_00012656,Smad9
bf_00007602,Smad3
bf_00007602,Smad2
bf_00000675,Ppp2r5c
bf_00000675,Ppp2r5d
bf_00000945,Olfr1472
bf_00000945,Olfr1475
bf_00003584,Cpne3
bf_00003584,Cpne1
bf_00003584,Cpne2
bf_00010201,Cpne6
bf_00010201,Cpne4
bf_00010201,Cpne7
bf_00026268,Col1a2
bf_00026268,Col2a1
bf_00026268,Col1a1
bf_00026268,Col3a1
bf_00026268,Col5a2
bf_00008721,Camk1
bf_00008721,Camk1d
bf_00024082,Stk33
bf_00012007,Aqp4
bf_00012007,Mip
bf_00012007,Aqp2
bf_00012007,Aqp5
bf_00012007,Aqp6
bf_00012007,Aqp1
bf_00000264,Atp1a4
bf_00000264,Atp1a2
bf_00000264,Atp1a3
bf_00000264,Atp1a1
bf_00000264,Atp4a
bf_00000264,Atp12a
bf_00012752,Gng7
bf_00012752,Gng12
bf_00015189,Lrfn4
bf_00015189,Lrfn2
bf_00015189,Lrfn1
bf_00015189,Lrfn3
bf_00015189,Lrfn5
bf_00003913,Ckmt2
bf_00003913,Ckmt1
bf_00000874,Ckm
bf_00000874,Ckb
bf_00026262,Gadl1
bf_00026262,Csad
bf_00007284,Efna3
bf_00007284,Efna2
bf_00007284,Efna5
bf_00007284,Efna4
bf_00007284,Efna1
bf_00000580,Capn1
bf_00000580,Capn11
bf_00000580,Capn9
bf_00000580,Capn3
bf_00015043,Hs3st6
bf_00015043,Hs3st3a1
bf_00015043,Hs3st3b1
bf_00015043,Hs3st4
bf_00015043,Hs3st2
bf_00019107,Tdgf1
bf_00019107,Cfc1
bf_00021372,Tnni1
bf_00021372,Tnni3
bf_00021372,Tnni2
bf_00014468,Stfa3
bf_00014468,Gm5416
bf_00014468,BC100530
bf_00014468,Stfa1
bf_00014468,BC117090
bf_00014468,Gm4758
bf_00014468,Stfa2
bf_00014468,Stfa2l1
bf_00014468,Gm5483
bf_00014468,2010005H15Rik
bf_00014468,Gm7260
bf_00014468,Csta1
bf_00014468,Cstb
bf_00026153,C4b
bf_00026153,C4a
bf_00026153,C3
bf_00026095,LOC102635661
bf_00026095,Myl6
bf_00026095,Myl6b
bf_00026095,Myl4
bf_00026095,Myl3
bf_00026095,Myl1
bf_00013554,Gabra3
bf_00013554,Gabra5
bf_00013554,Gabra1
bf_00013554,Gabra2
bf_00013554,Gabra6
bf_00009397,Slc7a5
bf_00019380,Prdx1
bf_00013971,Prdx4
bf_00014852,Chrna2
bf_00014852,Chrna4
bf_00019578,Chrna3
bf_00019578,Chrna6
bf_00022239,Abcb4
bf_00022239,Abcb1a
bf_00022239,Abcb1b
bf_00022239,Abcb5
bf_00021737,Abcb11
bf_00019690,Abca4
bf_00019690,Abca1
bf_00019690,Abca7
bf_00019690,Abca13
bf_00019690,Abca12
bf_00000820,Adcy10
bf_00011127,Wisp1
bf_00011127,Nov
bf_00011127,Ctgf
bf_00011127,Cyr61
bf_00002184,Nupl2
bf_00002549,Id4
bf_00002549,Id1
bf_00002549,LOC101056300
bf_00002549,LOC101056296
bf_00002549,Id3
bf_00002549,Id2
bf_00006040,Camk2g
bf_00006040,Camk2b
bf_00006040,Camk2d
bf_00006040,Camk2a
bf_00006031,Pten
bf_00006026,Fam47e
bf_00006026,Fam47c
bf_00006026,4930402K13Rik
bf_00006026,4930480E11Rik
bf_00025906,Atp6v0a1
bf_00025906,Atp6v0a4
bf_00025906,Tcirg1
bf_00025906,Atp6v0a2
bf_00026105,Cntnap2
bf_00026105,Cntnap5b
bf_00026105,Cntnap5c
bf_00026105,Cntnap5a
bf_00026105,Cntnap3
bf_00026105,Cntnap4
bf_00004760,Ppp2r2c
bf_00004760,Ppp2r2b
bf_00004760,Ppp2r2d
bf_00004760,Ppp2r2a
bf_00002716,Nat8l
bf_00002716,Nat8f1
bf_00002716,Nat8
bf_00002716,Nat8f5
bf_00002716,Nat8f4
bf_00002716,Nat8f2
bf_00002716,Nat8f6
bf_00002716,Nat8f3
bf_00002716,Nat8f7
bf_00006911,Rab8b
bf_00006911,Rab8a
bf_00003470,Rab13
bf_00003470,Rab10
bf_00002476,Sema6d
bf_00002476,Sema6c
bf_00002476,Sema6b
bf_00002476,Sema6a
bf_00002678,Itgb8
bf_00021747,Itgb2l
bf_00021747,Itgb2
bf_00021747,Itgb1
bf_00002885,Atp8b2
bf_00002885,Atp8b4
bf_00002885,Atp8b5
bf_00002885,Atp8b3
bf_00002885,Atp8b1
bf_00010519,Dnah5
bf_00004397,Dnah8
bf_00013921,Ftmt
bf_00013921,Fth1
bf_00013921,LOC100862446
bf_00013921,Ftl1
bf_00013770,Clic6
bf_00013770,Clic5
bf_00013770,Clic4
bf_00013770,Clic1
bf_00010824,C1qtnf4
bf_00006357,Piwil2
bf_00007707,Rhoa
bf_00007707,Rhoc
bf_00007707,4930544G11Rik
bf_00007707,Rhod
bf_00007707,Rhob
bf_00006746,Ppp2ca
bf_00006746,Ppp2cb
bf_00025485,Asic2
bf_00025485,Asic1
bf_00025485,Asic3
bf_00025485,Asic4
bf_00008690,Oas2
bf_00008690,Oas3
bf_00008690,Oas1f
bf_00008690,Oas1d
bf_00008690,Oas1e
bf_00008690,Oas1c
bf_00008690,Oas1h
bf_00008690,Oas1a
bf_00008690,Oas1g
bf_00008690,Oasl2
bf_00008690,Oasl1
bf_00024893,Rims2
bf_00024893,Rims4
bf_00024893,Rims3
bf_00024893,Rims1
bf_00004753,Fgfr3
bf_00004753,Fgfr4
bf_00004753,Fgfr1
bf_00004753,Fgfr2
bf_00015233,Csnk1d
bf_00005613,Csnk1a1
bf_00005601,Ebf4
bf_00005601,Ebf2
bf_00005601,Ebf1
bf_00005601,Ebf3
bf_00005032,Grk1
bf_00005032,Grk5
bf_00005032,Grk6
bf_00005032,Grk4
bf_00004401,Srsf7
bf_00006817,Celf3
bf_00006817,Celf6
bf_00006817,Celf4
bf_00006817,Celf5
bf_00001993,Sptbn1
bf_00001993,Sptbn2
bf_00001993,Sptb
bf_00001993,Sptbn4
bf_00009063,Cacna1f
bf_00009063,Cacna1d
bf_00009063,Cacna1c
bf_00009063,Cacna1s
bf_00007922,Pfkfb1
bf_00007922,Pfkfb4
bf_00007922,Pfkfb3
bf_00007922,Pfkfb2
bf_00017115,Tmem132e
bf_00017115,Tmem132b
bf_00017115,Tmem132d
bf_00017115,Tmem132c
bf_00012967,Tenm2
bf_00012967,Tenm3
bf_00012967,Tenm4
bf_00012967,Tenm1
bf_00013276,11-Sep
bf_00013276,6-Sep
bf_00013276,10-Sep
bf_00013276,14-Sep
bf_00013276,8-Sep
bf_00012613,Tmsb10
bf_00012613,Tmsb4x
bf_00012613,Tmsb15b2
bf_00012613,Tmsb15b1
bf_00012613,Tmsb15l
bf_00012613,Tmsb15a
bf_00012582,Cnga2
bf_00012582,Cnga3
bf_00012582,Cnga4
bf_00012582,Cnga1
bf_00010075,Pi15
bf_00010075,R3hdml
bf_00010075,Crispld2
bf_00010075,Crispld1
bf_00015997,Cyth4
bf_00015997,Cyth3
bf_00015997,Cyth2
bf_00015997,Cyth1
bf_00018634,Atp1b1
bf_00018634,Atp1b2
bf_00018634,Atp1b3
bf_00018634,Atp1b4
bf_00002496,Fbxw17
bf_00002496,Fbxw13
bf_00002496,Fbxw21
bf_00002496,Fbxw18
bf_00002496,Fbxw15
bf_00002496,Fbxw27
bf_00002496,Fbxw24
bf_00002496,Fbxw20
bf_00002496,Fbxw26
bf_00002496,Fbxw16
bf_00002496,Fbxw23
bf_00002496,Fbxw28
bf_00002496,Fbxw14
bf_00002496,Fbxw22
bf_00002496,Fbxw19
bf_00002776,Pzp
bf_00002776,Mug1
bf_00002776,Mug2
bf_00002776,A2m
bf_00002776,BC048546
bf_00003013,Tle2
bf_00003013,Tle4
bf_00003013,Tle1
bf_00003013,Tle3
bf_00017787,Dlg3
bf_00017787,Dlg2
bf_00017787,Dlg4
bf_00017787,Dlg1
bf_00010135,Chmp1a
bf_00018872,Chmp1b
bf_00018872,2610002M06Rik
bf_00020400,AU018091
bf_00020400,Slc7a3
bf_00020400,Slc7a1
bf_00020400,Slc7a2
bf_00021374,Atp13a2
bf_00021345,Atp13a4
bf_00021345,Atp13a5
bf_00021345,Atp13a3
bf_00014946,Pou3f4
bf_00014946,Pou3f3
bf_00014946,Pou3f2
bf_00014946,Pou3f1
bf_00023171,Fzd6
bf_00023171,Fzd1
bf_00023171,Fzd7
bf_00023171,Fzd2
bf_00001106,Ampd2
bf_00023460,Ampd3
bf_00023460,Ampd1
bf_00021389,Neurod6
bf_00021389,Neurod2
bf_00021389,Neurod1
bf_00021389,Neurod4
bf_00021883,Dnajb3
bf_00021883,Dnajb7
bf_00021883,Dnajb6
bf_00021883,Gm5917
bf_00021883,Dnajb8
bf_00021883,Dnajb2
bf_00019449,Mast3
bf_00019449,Mast4
bf_00019449,Mast2
bf_00019449,Mast1
bf_00019334,Rab3c
bf_00019334,Rab3d
bf_00019334,Rab3b
bf_00019334,Rab3a
bf_00019670,Pde4b
bf_00019670,Pde4a
bf_00019670,Pde4c
bf_00019670,Pde4d
bf_00007694,Ndst2
bf_00007694,Ndst1
bf_00007694,Ndst4
bf_00007694,Ndst3
bf_00025979,Pdk3
bf_00025979,Pdk1
bf_00025979,Pdk4
bf_00025979,Pdk2
bf_00023574,Adamts15
bf_00023574,Adamts8
bf_00023574,Adamts4
bf_00023574,Adamts1
bf_00005962,Reep3
bf_00005962,Reep4
bf_00005962,Reep2
bf_00005962,Reep1
bf_00005980,Entpd1
bf_00005980,Entpd2
bf_00005980,Entpd8
bf_00004469,Cd9
bf_00004469,Tspan2
bf_00004469,Cd81
bf_00000955,Mark4
bf_00000955,Mark3
bf_00000955,Mark1
bf_00000955,Mark2
bf_00000639,Bmp2
bf_00000639,Bmp4
bf_00001923,Gdf3
bf_00008480,Grm4
bf_00008480,Grm8
bf_00008480,Grm6
bf_00008480,Grm7
bf_00013140,Hmgb2
bf_00013140,Hmgb1
bf_00013140,Gm21596
bf_00013140,Hmgb3
bf_00012210,Gm13547
bf_00012210,Golga2
bf_00010573,Slc9a3
bf_00010573,Slc9a5
bf_00010573,Slc9a2
bf_00010573,Slc9a4
bf_00003350,Stmn2
bf_00003350,Stmn3
bf_00003350,Stmn4
bf_00002333,Kcnn4
bf_00002333,Kcnn3
bf_00002333,Kcnn1
bf_00002333,Kcnn2
bf_00002361,Pcsk5
bf_00002361,Pcsk6
bf_00002361,Pcsk4
bf_00002361,Furin
bf_00002365,Nr2f6
bf_00002365,Nr2f2
bf_00002365,Nr2f1
bf_00002884,Hcn3
bf_00002884,Hcn4
bf_00002884,Hcn2
bf_00002884,Hcn1
bf_00018111,Gstm7
bf_00018111,Gstm1
bf_00018111,Gstm3
bf_00018111,Gstm2
bf_00018111,Gstm4
bf_00018111,Gstm5
bf_00000547,Gm8994
bf_00000547,Eif4a3
bf_00018529,Eif4a2
bf_00018529,Eif4a1
bf_00021366,Gnb2
bf_00021366,Gnb4
bf_00021366,Gnb3
bf_00021366,Gnb1
bf_00014798,Rps6ka6
bf_00014798,Rps6ka3
bf_00014798,Rps6ka1
bf_00014798,Rps6ka2
bf_00013864,Fzd9
bf_00013864,Fzd10
bf_00014845,Fzd4
bf_00023037,Rab5a
bf_00023037,Rab5c
bf_00023037,Rab5b
bf_00023037,Rab17
bf_00018964,Adgrl3
bf_00018964,Adgrl1
bf_00018964,Adgrl2
bf_00019348,Elavl3
bf_00019348,Elavl4
bf_00019348,Elavl2
bf_00019348,Elavl1
bf_00024356,Ntf3
bf_00024356,Ntf5
bf_00024356,Bdnf
bf_00024356,Ngf
bf_00023971,Tead4
bf_00023971,Tead3
bf_00023971,Tead2
bf_00023971,Tead1
bf_00025031,Pabpc6
bf_00025031,Pabpc2
bf_00025031,Pabpc1
bf_00025031,Pabpc1l
bf_00025031,Pabpc4
bf_00004679,Mxd3
bf_00004679,Mxd4
bf_00004679,Mxd1
bf_00004679,Mxi1
bf_00005530,Sfxn3
bf_00005530,Sfxn1
bf_00005505,Sfxn2
bf_00007144,Rab11a
bf_00007144,Rab25
bf_00007144,Rab11b
bf_00000355,Actn1
bf_00000355,Actn4
bf_00000355,Actn3
bf_00000355,Actn2
bf_00001174,Slc8a3
bf_00001174,Slc8a2
bf_00001174,Slc8a1
bf_00001187,Rtn3
bf_00001187,Rtn4
bf_00001187,Rtn2
bf_00001187,Rtn1
bf_00008255,Timp1
bf_00008255,Timp2
bf_00008255,Timp4
bf_00008255,Timp3
bf_00009311,Atp2b3
bf_00009311,Atp2b2
bf_00009311,Atp2b1
bf_00009311,Atp2b4
bf_00017355,Mmp24
bf_00017355,Mmp16
bf_00017355,Mmp14
bf_00017355,Mmp15
bf_00009975,Slc6a2
bf_00009975,Slc6a3
bf_00017275,Slc6a4
bf_00016692,Stx3
bf_00016692,Stx4a
bf_00016692,Stx2
bf_00016692,Stx1a
bf_00016692,Stx1b
bf_00012355,Txk
bf_00012355,Itk
bf_00012355,Tec
bf_00012355,Btk
bf_00012831,Spry1
bf_00012831,Spry2
bf_00012831,Spry4
bf_00012831,Spry3
bf_00010024,Chd8
bf_00010024,Chd6
bf_00010024,Chd7
bf_00010024,Chd9
bf_00010416,Slc12a5
bf_00010416,Slc12a7
bf_00010416,Slc12a4
bf_00010416,Slc12a6
bf_00015202,Card14
bf_00015202,Card10
bf_00015202,Card9
bf_00015202,Card11
bf_00015540,Grin2b
bf_00015540,Grin2a
bf_00015540,Grin2c
bf_00003245,C1ql4
bf_00003245,C1ql2
bf_00003245,C1ql1
bf_00003245,C1ql3
bf_00000986,Ehd4
bf_00000986,Ehd3
bf_00000986,Ehd1
bf_00000986,Ehd2
bf_00002040,Tnfaip8l2
bf_00002040,Tnfaip8l3
bf_00002040,Tnfaip8
bf_00002040,Tnfaip8l1
bf_00002506,Epb41l1
bf_00002506,Epb41l3
bf_00002506,Epb41l2
bf_00002506,Epb41
bf_00002096,Sh3gl2
bf_00002096,Sh3gl1
bf_00002096,Sh3gl3
bf_00002619,Nudt10
bf_00002619,Nudt11
bf_00002619,Nudt4
bf_00002619,Nudt3
bf_00002797,Mex3b
bf_00002797,Mex3d
bf_00002797,Mex3a
bf_00002797,Mex3c
bf_00009960,Tssk3
bf_00009960,Tssk4
bf_00005532,Ddx4
bf_00018121,Ddx3y
bf_00018121,Ddx3x
bf_00018121,D1Pas1
bf_00018186,Arrb1
bf_00018186,Sag
bf_00018186,Arr3
bf_00018186,Arrb2
bf_00014033,Fam46a
bf_00014033,Fam46c
bf_00014033,Fam46d
bf_00014617,Acyp2
bf_00014692,Eif1ax
bf_00014692,LOC100503047
bf_00014692,Gm5662
bf_00014692,Gm2016
bf_00014692,Gm4027
bf_00014692,BB287469
bf_00014692,Gm2022
bf_00014692,Gm8300
bf_00014692,Gm21936
bf_00014692,Gm21319
bf_00022533,Ikzf4
bf_00022533,Ikzf2
bf_00022533,Ikzf3
bf_00022533,Ikzf1
bf_00023256,Slc4a1
bf_00023256,Slc4a2
bf_00023256,Slc4a3
bf_00021549,Plpp2
bf_00021549,Plpp1
bf_00021549,Plpp3
bf_00021951,Cers5
bf_00021951,Cers6
bf_00021951,Cers4
bf_00019351,Gprc5d
bf_00019351,Gprc5a
bf_00019351,Gprc5b
bf_00019351,Gprc5c
bf_00019778,Ssbp2
bf_00019778,Ssbp3
bf_00019778,Ssbp4
bf_00006553,Nat3
bf_00006553,Nat2
bf_00006553,Nat1
bf_00025969,Ggta1
bf_00025969,4930402F06Rik
bf_00025969,Abo
bf_00025969,Gbgt1
bf_00026131,Hoxa4
bf_00026131,Hoxb4
bf_00026131,Hoxd4
bf_00026131,Hoxc4
bf_00026143,Hoxc13
bf_00026143,Hoxb13
bf_00026143,Hoxa13
bf_00023781,Neu4
bf_00023781,Neu2
bf_00023781,Neu3
bf_00024726,Clk2
bf_00024726,Clk3
bf_00024726,Clk1
bf_00024726,Clk4
bf_00025106,Trim55
bf_00025106,Trim63
bf_00025106,Trim54
bf_00025261,Trpd52l3
bf_00025261,Tpd52l2
bf_00025261,Tpd52l1
bf_00025261,Tpd52
bf_00007081,Hdc
bf_00024657,Pfkp
bf_00024657,Pfkl
bf_00024657,Pfkm
bf_00004713,Drd1
bf_00004713,Drd5
bf_00001175,Galnt2
bf_00000633,Galnt14
bf_00000633,Galnt16
bf_00000301,Map4k3
bf_00000301,Map4k5
bf_00000301,Map4k2
bf_00000301,Map4k1
bf_00001433,Ltbp1
bf_00001433,Ltbp3
bf_00001433,Ltbp2
bf_00001433,Ltbp4
bf_00008299,Tcf4
bf_00008299,Tcf12
bf_00008299,Tcf3
bf_00008054,Plxna2
bf_00008054,Plxna4
bf_00008054,Plxna1
bf_00008054,Plxna3
bf_00016450,Ssh3
bf_00016450,Ssh1
bf_00016450,Ssh2
bf_00016555,Aldoart2
bf_00016555,Aldoart1
bf_00016555,Aldoa
bf_00016555,Aldoc
bf_00016555,Aldob
bf_00013577,Gpm6b
bf_00013577,Plp1
bf_00013577,Gpm6a
bf_00013413,A1cf
bf_00013412,Rbm46
bf_00013412,Dnd1
bf_00011857,Cacna1e
bf_00011857,Cacna1a
bf_00011857,Cacna1b
bf_00011815,Brd2
bf_00011815,Brdt
bf_00011815,Brd4
bf_00011815,Brd3
bf_00011488,Dnm3
bf_00011488,Dnm2
bf_00011488,Dnm1
bf_00010468,Ndrg1
bf_00010468,Ndrg4
bf_00010468,Ndrg3
bf_00009952,Sowahd
bf_00009952,Sowahc
bf_00009952,Sowaha
bf_00015322,Syngr2
bf_00015322,Syngr3
bf_00015322,Syngr1
bf_00024059,Tub
bf_00024059,Tulp3
bf_00024059,Tulp2
bf_00024059,Tulp1
bf_00001015,Ppp1r14c
bf_00001015,4933415F23Rik
bf_00001015,Ppp1r14b
bf_00001015,Ppp1r14a
bf_00002597,Sox4
bf_00002597,Sox12
bf_00002597,Sox11
bf_00002489,Hdac2
bf_00002489,Hdac1
bf_00019948,Hdac3
bf_00003462,Xkr7
bf_00003462,Xkr4
bf_00003462,Xkr6
bf_00002455,Ntrk1
bf_00002455,Ntrk2
bf_00002455,Ntrk3
bf_00002896,Mef2c
bf_00002896,Mef2d
bf_00002896,Mef2a
bf_00003790,Zfp687
bf_00003790,Zfp532
bf_00003790,Zfp592
bf_00018309,Mogat1
bf_00018309,Mogat2
bf_00018309,Dgat2
bf_00018428,Stk25
bf_00018428,Stk26
bf_00018428,Stk24
bf_00014704,Sesn3
bf_00014704,Sesn1
bf_00014704,Sesn2
bf_00022607,Acvr1c
bf_00022607,Acvr1b
bf_00022607,Tgfbr1
bf_00023053,Ppard
bf_00023053,Ppara
bf_00023053,Pparg
bf_00022955,Dip2a
bf_00022955,Dip2b
bf_00022955,Dip2c
bf_00021432,Rbms1
bf_00021432,Rbms3
bf_00021432,Rbms2
bf_00021492,Kctd7
bf_00021941,Kif5b
bf_00021941,Kif5a
bf_00021941,Kif5c
bf_00022058,Prkag3
bf_00022058,Prkag1
bf_00022058,Prkag2
bf_00019196,Ptprs
bf_00019196,Ptprd
bf_00019196,Ptprf
bf_00019759,Hmha1
bf_00019759,Gmip
bf_00019759,Arhgap29
bf_00019375,Lipg
bf_00019375,Lipc
bf_00019375,Lpl
bf_00006170,Adh4
bf_00006170,Adh1
bf_00006170,Adh7
bf_00006170,Adh5
bf_00006200,Pdlim7
bf_00006200,Pdlim5
bf_00006200,Ldb3
bf_00006348,Txnrd2
bf_00009018,Txnrd1
bf_00009018,Txnrd3
bf_00025663,Amph
bf_00025663,Bin1
bf_00025663,Bin2
bf_00024141,Shank2
bf_00024141,Shank3
bf_00024141,Shank1
bf_00024998,Ptp4a1
bf_00024998,Ptp4a2
bf_00024998,Ptp4a3
bf_00004126,Scyl2
bf_00005734,Dok3
bf_00005734,Dok2
bf_00005734,Dok1
bf_00005229,Fgf8
bf_00005229,Fgf17
bf_00005229,Fgf18
bf_00004929,Loxl4
bf_00004929,Loxl3
bf_00004929,Gm21451
bf_00004929,Loxl2
bf_00007448,Gnaq
bf_00007448,Gna11
bf_00007448,Gna14
bf_00007234,Myo5c
bf_00007234,Myo5b
bf_00007234,Myo5a
bf_00007434,Zfp280c
bf_00007434,Zfp280d
bf_00007434,Zfp280b
bf_00007434,Pogz
bf_00000749,Ppp1r13b
bf_00000749,Trp53bp2
bf_00000749,Ppp1r13l
bf_00000918,Rin3
bf_00000918,Rin1
bf_00000918,Rin2
bf_00001060,Akt1
bf_00001060,Akt2
bf_00001060,Akt3
bf_00001611,Nrxn2
bf_00001611,Nrxn3
bf_00001611,Nrxn1
bf_00001772,Ryr1
bf_00001772,Ryr3
bf_00001772,Ryr2
bf_00008287,Lamb2
bf_00008287,Lamb1
bf_00007776,Kdm5a
bf_00007776,Kdm5c
bf_00007776,Kdm5d
bf_00007776,Kdm5b
bf_00008583,Lhfpl3
bf_00008583,Lhfpl4
bf_00008583,Lhfpl5
bf_00008083,Itpr2
bf_00008083,Itpr3
bf_00008083,Itpr1
bf_00016613,Coro1a
bf_00016613,Coro6
bf_00016613,Coro1b
bf_00016613,Coro1c
bf_00016890,Fbxo2
bf_00016890,Fbxo44
bf_00016890,Fbxo6
bf_00016693,Atp2a1
bf_00016693,Atp2a3
bf_00016693,Atp2a2
bf_00012698,Trpc6
bf_00012698,Trpc7
bf_00012698,Trpc3
bf_00011890,Brinp2
bf_00011890,Brinp3
bf_00011890,Brinp1
bf_00010424,Cyp27b1
bf_00010424,Cyp27a1
bf_00010361,Sall4
bf_00010361,Sall3
bf_00010361,Sall1
bf_00015840,Tnrc6b
bf_00015840,Tnrc6a
bf_00015840,Tnrc6c
bf_00015929,Gsg1l2
bf_00015929,Gsg1l
bf_00015929,Gsg1
bf_00004145,Mylk4
bf_00004145,Mylk3
bf_00004145,Mylk2
bf_00003620,Fer1l4
bf_00003620,Fer1l6
bf_00003620,Otof
bf_00003899,Myl12b
bf_00003899,Myl12a
bf_00003899,Myl9
bf_00009316,Rrm2b
bf_00004441,Tcea3
bf_00002687,Slc12a3
bf_00002687,Slc12a1
bf_00002687,Slc12a2
bf_00002291,Arid3c
bf_00002291,Arid3a
bf_00002291,Arid3b
bf_00002917,Aqp3
bf_00002917,Aqp9
bf_00002920,Homer1
bf_00002920,Homer3
bf_00002920,Homer2
bf_00002929,Sgk2
bf_00002929,Sgk1
bf_00002929,Sgk3
bf_00018330,Gucy2g
bf_00003007,Npr1
bf_00003007,Npr2
bf_00017791,Ap1s2
bf_00017791,Ap1s3
bf_00017791,Ap1s1
bf_00018129,Itm2c
bf_00018129,Itm2a
bf_00018129,Itm2b
bf_00018123,Tnik
bf_00018123,Mink1
bf_00018123,Map4k4
bf_00018629,Rap2a
bf_00018629,Rap2b
bf_00018629,Rap2c
bf_00020274,Chd4
bf_00020274,Chd5
bf_00020274,Chd3
