amph_id,zebrafish_id,zebrafish_name
bf_00001118,ENSDARG00000055543,appb
bf_00014536,ENSDARG00000026796,grm1a
bf_00017220,ENSDARG00000014274,rfc2
bf_00003262,ENSDARG00000070037,rgs8
bf_00007506,ENSDARG00000102748,CABZ01074745.1
bf_00000382,ENSDARG00000012572,polr3f
bf_00006195,ENSDARG00000101175,mcu
bf_00009999,ENSDARG00000005150,tbx20
bf_00002923,ENSDARG00000043084,abhd17ab
bf_00001565,ENSDARG00000115282,tsnax
bf_00004762,ENSDARG00000057299,pbdc1
bf_00011628,ENSDARG00000028099,sh2d3ca
bf_00012798,ENSDARG00000004889,aga
bf_00003225,ENSDARG00000079124,MTERF4
bf_00025106,ENSDARG00000029596,trim55a
bf_00023572,ENSDARG00000073710,usp7
bf_00014545,ENSDARG00000018854,scaf4b
bf_00009832,ENSDARG00000075984,hsbp1l1
bf_00015725,ENSDARG00000061185,nat15
bf_00024498,ENSDARG00000063149,tmtc1
bf_00001034,ENSDARG00000043665,glrx5
bf_00013192,ENSDARG00000078525,noctb
bf_00011723,ENSDARG00000057107,si:ch73-383g2.1
bf_00014956,ENSDARG00000078864,lats2
bf_00007694,ENSDARG00000103606,ndst1b
bf_00016060,ENSDARG00000103667,gga3a
bf_00015013,ENSDARG00000114937,NOX4
bf_00017361,ENSDARG00000016263,zdhhc5a
bf_00011474,ENSDARG00000043928,gpn1
bf_00011113,ENSDARG00000014208,zgc:55413
bf_00002059,ENSDARG00000011259,trpm1a
bf_00024239,ENSDARG00000103095,tbk1
bf_00019787,ENSDARG00000044405,ttc4
bf_00000859,ENSDARG00000071203,sptssa
bf_00009990,ENSDARG00000098317,dync1li1
bf_00015520,ENSDARG00000089913,cacna1g
bf_00018921,ENSDARG00000035120,gldc
bf_00024163,ENSDARG00000062846,tmtc3
bf_00000435,ENSDARG00000059553,sympk
bf_00017610,ENSDARG00000035146,polr2j
bf_00005877,ENSDARG00000103889,mettl17
bf_00011542,ENSDARG00000069484,dab2ipa
bf_00000918,ENSDARG00000077040,RIN2
bf_00020995,ENSDARG00000036704,tmem18
bf_00024849,ENSDARG00000042751,riok3
bf_00003513,ENSDARG00000036995,lsm6
bf_00000943,ENSDARG00000004721,mpp5b
bf_00008453,ENSDARG00000068701,gpr85
bf_00005574,ENSDARG00000055070,borcs7
bf_00004815,ENSDARG00000026137,sfxn5b
bf_00000177,ENSDARG00000053485,aldh6a1
bf_00017082,ENSDARG00000039887,c1qbp
bf_00009407,ENSDARG00000055889,zgc:153215
bf_00002603,ENSDARG00000014259,eya1
bf_00024489,ENSDARG00000026395,rfx4
bf_00018516,ENSDARG00000039430,msl2b
bf_00017996,ENSDARG00000029133,tubgcp3
bf_00000468,ENSDARG00000100028,pole2
bf_00000351,ENSDARG00000091521,MAP3K11
bf_00008040,ENSDARG00000029071,creld2
bf_00020700,ENSDARG00000063211,exoc8
bf_00008640,ENSDARG00000010316,qars1
bf_00015688,ENSDARG00000058463,ndufab1a
bf_00026424,ENSDARG00000102885,rsu1
bf_00019951,ENSDARG00000099566,lmbrd2a
bf_00005738,ENSDARG00000052917,si:ch211-202f3.3
bf_00001662,ENSDARG00000032430,ppp2r1bb
bf_00001219,ENSDARG00000076988,znf839
bf_00026262,ENSDARG00000026348,csad
bf_00002476,ENSDARG00000061976,sema6bb
bf_00019500,ENSDARG00000012039,ttc26
bf_00001713,ENSDARG00000069289,gabpa
bf_00006529,ENSDARG00000028748,tm9sf3
bf_00023827,ENSDARG00000058285,cpt1b
bf_00001788,ENSDARG00000004870,psen1
bf_00005867,ENSDARG00000105099,golga7bb
bf_00018650,ENSDARG00000105458,si:dkeyp-81f3.4
bf_00024385,ENSDARG00000045754,mettl25
bf_00022127,ENSDARG00000010658,insig1
bf_00002975,ENSDARG00000051923,ccnb1
bf_00005825,ENSDARG00000098785,glrx3
bf_00012846,ENSDARG00000004771,ankrd10b
bf_00003059,ENSDARG00000029063,clpxa
bf_00018161,ENSDARG00000078624,arhgef9b
bf_00015307,ENSDARG00000102366,micall2a
bf_00002104,ENSDARG00000103848,apba1a
bf_00005380,ENSDARG00000101452,SUSD2
bf_00003660,ENSDARG00000077870,taf9
bf_00017355,ENSDARG00000013072,mmp15b
bf_00006698,ENSDARG00000054154,bms1
bf_00010361,ENSDARG00000074319,sall1a
bf_00003322,ENSDARG00000077783,SRMS
bf_00001432,ENSDARG00000017337,C11H6orf120
bf_00022870,ENSDARG00000099547,nbeal1
bf_00010818,ENSDARG00000039684,sirt5
bf_00004209,ENSDARG00000077126,snrnp70
bf_00001660,ENSDARG00000079369,si:ch211-212g7.6
bf_00004248,ENSDARG00000051876,ush1c
bf_00003012,ENSDARG00000041570,mrpl39
bf_00007407,ENSDARG00000042010,pklr
bf_00015631,ENSDARG00000105482,hist1h4l
bf_00010112,ENSDARG00000003872,ccdc102a
bf_00002395,ENSDARG00000071487,zgc:152948
bf_00003790,ENSDARG00000019299,znf687b
bf_00013676,ENSDARG00000019782,impg2a
bf_00000133,ENSDARG00000109820,NPAS3
bf_00006968,ENSDARG00000026376,aco1
bf_00024905,ENSDARG00000091367,prpf6
bf_00023110,ENSDARG00000095901,col18a1b
bf_00022050,ENSDARG00000074734,msl1a
bf_00019716,ENSDARG00000069781,rec114
bf_00021575,ENSDARG00000057531,pgap3
bf_00010446,ENSDARG00000112922,SLC66A2
bf_00017200,ENSDARG00000012468,aacs
bf_00020814,ENSDARG00000025902,plekhg5a
bf_00008583,ENSDARG00000045023,lhfpl5a
bf_00026265,ENSDARG00000113139,CR855318.1
bf_00017351,ENSDARG00000029930,SPDEF
bf_00003323,ENSDARG00000059279,tfap2a
bf_00007099,ENSDARG00000074667,akt1s1
bf_00020329,ENSDARG00000032885,si:ch211-226m7.4
bf_00002511,ENSDARG00000063319,sqleb
bf_00022221,ENSDARG00000006010,bmi1a
bf_00021738,ENSDARG00000089853,si:dkey-22n8.3
bf_00000348,ENSDARG00000020541,ism1
bf_00000224,ENSDARG00000053912,fbl
bf_00025909,ENSDARG00000004301,rhogb
bf_00012725,ENSDARG00000070470,sh3rf1
bf_00023515,ENSDARG00000098439,nr1h3
bf_00014477,ENSDARG00000006621,pspc1
bf_00014477,ENSDARG00000020482,nono
bf_00016500,ENSDARG00000017813,pigs
bf_00018900,ENSDARG00000099851,GPR180
bf_00016363,ENSDARG00000032614,msi2b
bf_00002928,ENSDARG00000037781,acss2
bf_00009465,ENSDARG00000038445,spire1b
bf_00024883,ENSDARG00000070440,atp6v1c2
bf_00007790,ENSDARG00000088619,rexo4
bf_00003968,ENSDARG00000011961,csrp2
bf_00000330,ENSDARG00000022260,si:ch211-57i17.1
bf_00020785,ENSDARG00000027582,angptl7
bf_00022644,ENSDARG00000101697,si:dkey-30e9.7
bf_00008906,ENSDARG00000055129,pim3
bf_00000655,ENSDARG00000010059,itpkb
bf_00013554,ENSDARG00000113737,LO018287.1
bf_00018415,ENSDARG00000100481,smg6
bf_00011228,ENSDARG00000068976,bsx
bf_00022174,ENSDARG00000102829,cobll1b
bf_00005097,ENSDARG00000062086,kiaa1549lb
bf_00004617,ENSDARG00000102060,C25H11orf49
bf_00000839,ENSDARG00000060835,tecpr2
bf_00010924,ENSDARG00000091198,urm1
bf_00008291,ENSDARG00000103665,brpf1
bf_00009705,ENSDARG00000077546,zdhhc1
bf_00023256,ENSDARG00000052330,slc4a2b
bf_00000966,ENSDARG00000009471,nid2b
bf_00015979,ENSDARG00000076128,prkar1aa
bf_00001334,ENSDARG00000060411,ddx28
bf_00008961,ENSDARG00000061719,washc4
bf_00003095,ENSDARG00000027357,cd2bp2
bf_00024647,ENSDARG00000014806,hacd2
bf_00013659,ENSDARG00000086778,pdgfba
bf_00007273,ENSDARG00000062794,trim36
bf_00024481,ENSDARG00000063563,creb3l2
bf_00022324,ENSDARG00000025335,nek10
bf_00003222,ENSDARG00000009626,nrbp2b
bf_00008557,ENSDARG00000016886,dnajb9b
bf_00021883,ENSDARG00000041394,dnajb1b
bf_00007193,ENSDARG00000053362,cilp
bf_00017532,ENSDARG00000100876,sez6a
bf_00003188,ENSDARG00000099685,gnb5a
bf_00002634,ENSDARG00000101543,washc5
bf_00024974,ENSDARG00000105389,mmel1
bf_00018634,ENSDARG00000042837,atp1b3b
bf_00024239,ENSDARG00000070606,ikbke
bf_00011092,ENSDARG00000068415,ptgesl
bf_00010201,ENSDARG00000101095,cpne4a
bf_00000537,ENSDARG00000070432,ino80
bf_00020822,ENSDARG00000102142,ece2b
bf_00010841,ENSDARG00000043094,gnas
bf_00026153,ENSDARG00000093068,c3b.1
bf_00023583,ENSDARG00000114049,CABZ01018956.1
bf_00007674,ENSDARG00000036239,gatm
bf_00011856,ENSDARG00000067639,prpf4
bf_00004677,ENSDARG00000020857,ccdc149b
bf_00006724,ENSDARG00000043313,ank2b
bf_00016346,ENSDARG00000100487,nploc4
bf_00007448,ENSDARG00000025013,gna14a
bf_00008054,ENSDARG00000114823,PLXNA1
bf_00000955,ENSDARG00000019345,mark3a
bf_00009763,ENSDARG00000004843,foxp1a
bf_00002425,ENSDARG00000059714,arsk
bf_00002188,ENSDARG00000060415,arhgef28a
bf_00002476,ENSDARG00000000189,sema6e
bf_00006934,ENSDARG00000038281,natd1
bf_00006222,ENSDARG00000042853,ivd
bf_00019725,ENSDARG00000021115,spata6
bf_00018260,ENSDARG00000040453,wdfy2
bf_00009794,ENSDARG00000053652,ndufaf6
bf_00001644,ENSDARG00000056210,hspa1b
bf_00018989,ENSDARG00000075016,apobb.2
bf_00004644,ENSDARG00000038308,ykt6
bf_00003507,ENSDARG00000016173,cct3
bf_00018073,ENSDARG00000060249,wdr44
bf_00018075,ENSDARG00000100181,lamp1a
bf_00022307,ENSDARG00000029881,kcnh2a
bf_00003471,ENSDARG00000017162,kif3ca
bf_00018021,ENSDARG00000052103,dtymk
bf_00006938,ENSDARG00000034982,zcchc8
bf_00005051,ENSDARG00000027099,psmc4
bf_00017184,ENSDARG00000012982,nf1a
bf_00000203,ENSDARG00000091349,plekhd1
bf_00016209,ENSDARG00000077177,map2k4b
bf_00018625,ENSDARG00000044420,dnajc19
bf_00016859,ENSDARG00000056211,ogfod2
bf_00021251,ENSDARG00000032577,clcn6
bf_00009940,ENSDARG00000077265,wdr89
bf_00018394,ENSDARG00000104110,col4a2
bf_00023795,ENSDARG00000018904,cstf3
bf_00009760,ENSDARG00000100709,agxt2
bf_00014538,ENSDARG00000061865,ddx10
bf_00010028,ENSDARG00000058830,zdhhc3b
bf_00013953,ENSDARG00000053828,ubxn11
bf_00019042,ENSDARG00000013457,mtrex
bf_00013278,ENSDARG00000017602,ccng2
bf_00021150,ENSDARG00000104848,cdkal1
bf_00021208,ENSDARG00000056338,szrd1
bf_00000675,ENSDARG00000059083,ppp2r5ca
bf_00024126,ENSDARG00000062797,nell2b
bf_00002535,ENSDARG00000059843,fam135a
bf_00012539,ENSDARG00000075014,sqstm1
bf_00009543,ENSDARG00000078654,tpx2
bf_00010410,ENSDARG00000102105,dad1
bf_00002059,ENSDARG00000103476,trpm1b
bf_00002667,ENSDARG00000059775,slc32a1
bf_00019496,ENSDARG00000102435,plekhf1
bf_00010573,ENSDARG00000078560,slc9a5
bf_00000919,ENSDARG00000012219,dpf2
bf_00020765,ENSDARG00000061817,kif1aa
bf_00024149,ENSDARG00000040254,hormad1
bf_00011495,ENSDARG00000101868,dennd1b
bf_00000960,ENSDARG00000092659,ppp3r1a
bf_00014427,ENSDARG00000059081,PRSS35
bf_00012987,ENSDARG00000035735,gsx1
bf_00020997,ENSDARG00000022788,cops7a
bf_00018211,ENSDARG00000036500,fam122b
bf_00013184,ENSDARG00000019063,fat1b
bf_00024065,ENSDARG00000102335,ano1
bf_00009626,ENSDARG00000096473,mcat
bf_00000481,ENSDARG00000060758,nphs1
bf_00012646,ENSDARG00000036894,aimp1b
bf_00024085,ENSDARG00000005897,dera
bf_00017109,ENSDARG00000012247,def6a
bf_00010058,ENSDARG00000071596,neto1l
bf_00011912,ENSDARG00000091777,mapkap1
bf_00000415,ENSDARG00000101512,tmx4
bf_00008001,ENSDARG00000021838,rps23
bf_00016126,ENSDARG00000115335,ubald2
bf_00025899,ENSDARG00000079312,kmt2ca
bf_00004359,ENSDARG00000079848,gmps
bf_00005463,ENSDARG00000112088,AL935174.3
bf_00006762,ENSDARG00000095947,adkb
bf_00004351,ENSDARG00000099803,pik3c2g
bf_00013025,ENSDARG00000078683,RNF14
bf_00008341,ENSDARG00000093253,MFSD3
bf_00016207,ENSDARG00000100947,mafk
bf_00006678,ENSDARG00000054597,cnot6l
bf_00003946,ENSDARG00000061391,grhl1
bf_00024893,ENSDARG00000062305,rims3
bf_00008729,ENSDARG00000061351,tfpi2
bf_00013651,ENSDARG00000041317,rangap1a
bf_00004398,ENSDARG00000070986,sergef
bf_00004353,ENSDARG00000074431,ddb1
bf_00011814,ENSDARG00000016903,wdr5
bf_00006055,ENSDARG00000101848,dydc2
bf_00015233,ENSDARG00000045150,csnk1e
bf_00008578,ENSDARG00000076014,ERC1
bf_00015549,ENSDARG00000061354,foxred2
bf_00013162,ENSDARG00000016531,klhl4
bf_00005542,ENSDARG00000100465,clrn3
bf_00000628,ENSDARG00000116246,ccs
bf_00025783,ENSDARG00000044422,acvr2ba
bf_00017880,ENSDARG00000058162,pcyt1ba
bf_00010834,ENSDARG00000016964,MCUR1
bf_00026309,ENSDARG00000101465,orc2
bf_00004981,ENSDARG00000019717,pbx2
bf_00025087,ENSDARG00000069269,wdr35
bf_00007014,ENSDARG00000063258,rfx5
bf_00026130,ENSDARG00000029263,hoxb3a
bf_00003794,ENSDARG00000040087,epb41l4a
bf_00015659,ENSDARG00000103125,tsc2
bf_00006394,ENSDARG00000071021,papss2a
bf_00005990,ENSDARG00000012453,rnls
bf_00021408,ENSDARG00000019004,smarcd1
bf_00007593,ENSDARG00000012790,tmem161a
bf_00001786,ENSDARG00000006345,med17
bf_00010121,ENSDARG00000103361,tshz3b
bf_00003349,ENSDARG00000035074,rtel1
bf_00009979,ENSDARG00000035028,lpcat4
bf_00018342,ENSDARG00000021864,rplp1
bf_00016018,ENSDARG00000020488,arhgap17a
bf_00022687,ENSDARG00000045444,fzd8a
bf_00025280,ENSDARG00000054799,rfc1
bf_00020310,ENSDARG00000067918,elp5
bf_00006431,ENSDARG00000088121,pkd1l2b
bf_00014637,ENSDARG00000057074,rpgrb
bf_00003365,ENSDARG00000096756,si:ch211-196c10.13
bf_00023494,ENSDARG00000078767,yeats2
bf_00000174,ENSDARG00000077264,wdr43
bf_00018872,ENSDARG00000099624,chmp1b
bf_00009438,ENSDARG00000068187,spg7
bf_00012086,ENSDARG00000045846,osgep
bf_00000424,ENSDARG00000017254,kcnk1b
bf_00001051,ENSDARG00000008200,ugp2b
bf_00000031,ENSDARG00000041411,rad51
bf_00020130,ENSDARG00000031907,ptbp1b
bf_00003430,ENSDARG00000011049,slc17a9b
bf_00026108,ENSDARG00000007387,irf2a
bf_00015895,ENSDARG00000074443,gas7a
bf_00018247,ENSDARG00000098186,TMEM19
bf_00000861,ENSDARG00000063233,baz1a
bf_00010097,ENSDARG00000043635,cmc2
bf_00022313,ENSDARG00000044551,atg9a
bf_00016890,ENSDARG00000057899,zgc:114081
bf_00022109,ENSDARG00000078266,twist2
bf_00004317,ENSDARG00000090106,slc17a7b
bf_00018531,ENSDARG00000006782,rb1
bf_00005463,ENSDARG00000003520,tbc1d14
bf_00007700,ENSDARG00000011662,chuk
bf_00006479,ENSDARG00000015854,chata
bf_00010569,ENSDARG00000019774,zhx3
bf_00026153,ENSDARG00000015065,c4
bf_00013408,ENSDARG00000098441,nars2
bf_00009661,ENSDARG00000003487,nup93
bf_00020965,ENSDARG00000042535,actc1a
bf_00008201,ENSDARG00000056101,kcnd3
bf_00015421,ENSDARG00000077299,yars2
bf_00006819,ENSDARG00000094738,loxhd1a
bf_00001107,ENSDARG00000024431,ets1
bf_00017155,ENSDARG00000061901,ankrd13a
bf_00012003,ENSDARG00000027046,scyl3
bf_00007742,ENSDARG00000009480,pdcl
bf_00000042,ENSDARG00000024575,kif26bb
bf_00013276,ENSDARG00000010721,sept6
bf_00000023,ENSDARG00000015425,slc24a4a
bf_00006678,ENSDARG00000008255,cnot6a
bf_00025010,ENSDARG00000017437,adcy3b
bf_00003314,ENSDARG00000057159,ankrd29
bf_00008353,ENSDARG00000033376,chchd4a
bf_00000355,ENSDARG00000071090,actn2b
bf_00013580,ENSDARG00000043627,tbc1d9
bf_00001187,ENSDARG00000044601,rtn4a
bf_00009783,ENSDARG00000101578,e2f4
bf_00023098,ENSDARG00000036102,ctdsp2
bf_00000424,ENSDARG00000045067,kcnk1a
bf_00013811,ENSDARG00000018181,dnajc28
bf_00003509,ENSDARG00000105214,agtpbp1
bf_00008558,ENSDARG00000044827,wnt7aa
bf_00014746,ENSDARG00000104030,taf12
bf_00014489,ENSDARG00000098135,stk40
bf_00023760,ENSDARG00000058108,eps8l2
bf_00023574,ENSDARG00000103519,adamts1
bf_00011957,ENSDARG00000078299,si:ch211-13f8.2
bf_00017492,ENSDARG00000079483,CABZ01072096.1
bf_00014364,ENSDARG00000109289,mrps15
bf_00003903,ENSDARG00000103118,cib1
bf_00009842,ENSDARG00000074790,rab5if
bf_00004495,ENSDARG00000068868,nap1l4b
bf_00014388,ENSDARG00000089026,si:dkey-183k8.2
bf_00023057,ENSDARG00000000069,dap
bf_00008292,ENSDARG00000033184,prkar2aa
bf_00008974,ENSDARG00000102893,atg7
bf_00007935,ENSDARG00000023768,mfsd4aa
bf_00002802,ENSDARG00000063158,SLC24A2
bf_00022995,ENSDARG00000102310,si:ch211-156l18.8
bf_00023098,ENSDARG00000071673,ctdspla
bf_00015202,ENSDARG00000067672,card9
bf_00023687,ENSDARG00000101347,CABZ01068251.1
bf_00015671,ENSDARG00000019038,sgsm3
bf_00015532,ENSDARG00000055653,nubp2
bf_00018029,ENSDARG00000004363,lhfpl6
bf_00009731,ENSDARG00000079104,mfhas1
bf_00016943,ENSDARG00000097471,ENSDARG00000097471
bf_00017487,ENSDARG00000039490,pitpnaa
bf_00008292,ENSDARG00000009477,prkar2ab
bf_00001680,ENSDARG00000015449,fut8a
bf_00019931,ENSDARG00000114329,HOOK3
bf_00020385,ENSDARG00000040031,tardbp
bf_00001082,ENSDARG00000105394,gemin6
bf_00011927,ENSDARG00000103578,gtf2b
bf_00023745,ENSDARG00000042530,nup205
bf_00004793,ENSDARG00000102615,fra10ac1
bf_00026345,ENSDARG00000057782,baz2ba
bf_00014413,ENSDARG00000090581,wdr4
bf_00021865,ENSDARG00000057249,zmynd11
bf_00000718,ENSDARG00000041407,rmdn3
bf_00006736,ENSDARG00000062593,stox1
bf_00001675,ENSDARG00000016651,znf106a
bf_00015721,ENSDARG00000059629,asphd2
bf_00023746,ENSDARG00000007045,cnot4a
bf_00004773,ENSDARG00000032237,anapc4
bf_00021079,ENSDARG00000016514,gtf2h2
bf_00023827,ENSDARG00000059770,cpt1aa
bf_00023874,ENSDARG00000057317,nexn
bf_00019727,ENSDARG00000037909,timm29
bf_00012270,ENSDARG00000101090,pappaa
bf_00019533,ENSDARG00000058848,mcoln1b
bf_00011299,ENSDARG00000060946,pip5kl1
bf_00002377,ENSDARG00000102338,ptar1
bf_00014637,ENSDARG00000056617,rpgra
bf_00009366,ENSDARG00000017121,mafba
bf_00005393,ENSDARG00000013528,mcm9
bf_00013824,ENSDARG00000103683,inpp5b
bf_00010396,ENSDARG00000103433,rpl14
bf_00000926,ENSDARG00000026081,lhcgr
bf_00017109,ENSDARG00000044524,def6b
bf_00005529,ENSDARG00000071304,tbc1d2
bf_00019591,ENSDARG00000087238,si:ch211-161h7.4
bf_00025915,ENSDARG00000052131,gli3
bf_00025006,ENSDARG00000017427,phf20l1
bf_00024760,ENSDARG00000077523,tdrd7b
bf_00008653,ENSDARG00000028192,cradd
bf_00011416,ENSDARG00000023362,nr5a1b
bf_00012166,ENSDARG00000093389,si:dkeyp-20g2.3
bf_00019496,ENSDARG00000075747,zfyve16
bf_00023288,ENSDARG00000078772,nbr1b
bf_00013770,ENSDARG00000010625,clic2
bf_00018798,ENSDARG00000061205,stag1a
bf_00000692,ENSDARG00000060785,pcnx4
bf_00008051,ENSDARG00000003811,plxnb2a
bf_00002949,ENSDARG00000104771,timm44
bf_00001882,ENSDARG00000042851,srp9
bf_00006935,ENSDARG00000051762,CABZ01080568.1
bf_00012913,ENSDARG00000016794,mtmr6
bf_00011420,ENSDARG00000102512,kdm8
bf_00015497,ENSDARG00000071414,cybc1
bf_00018798,ENSDARG00000053668,stag2b
bf_00002060,ENSDARG00000037495,rtn4rl2b
bf_00000244,ENSDARG00000034534,atp6v1aa
bf_00019650,ENSDARG00000044694,fybb
bf_00017472,ENSDARG00000093985,si:dkeyp-72a4.1
bf_00016067,ENSDARG00000061960,ube3b
bf_00012289,ENSDARG00000067507,kctd8
bf_00024542,ENSDARG00000060926,rnf19b
bf_00004312,ENSDARG00000100143,lrp6
bf_00009024,ENSDARG00000044619,birc2
bf_00008307,ENSDARG00000110298,mbd4
bf_00019213,ENSDARG00000056005,dnajc18
bf_00022678,ENSDARG00000091079,si:zfos-1192g2.3
bf_00009145,ENSDARG00000053574,fancd2
bf_00006070,ENSDARG00000044144,wapla
bf_00012768,ENSDARG00000068782,sparta
bf_00026352,ENSDARG00000058207,abi2a
bf_00011580,ENSDARG00000043453,rps5
bf_00008136,ENSDARG00000058292,sephs1
bf_00004861,ENSDARG00000033861,sepsecs
bf_00001665,ENSDARG00000069968,pcsk7
bf_00022777,ENSDARG00000060303,slc4a10b
bf_00019464,ENSDARG00000043877,mmachc
bf_00019778,ENSDARG00000099727,ssbp2
bf_00019739,ENSDARG00000113296,LO017722.1
bf_00007211,ENSDARG00000012649,smad4b
bf_00012596,ENSDARG00000018178,pgm2
bf_00001126,ENSDARG00000076627,smg9
bf_00018186,ENSDARG00000011545,arrb2b
bf_00022112,ENSDARG00000109510,lsm12b
bf_00018320,ENSDARG00000075909,slc35f3a
bf_00005035,ENSDARG00000045553,hsd17b2
bf_00004939,ENSDARG00000003311,pank2
bf_00026108,ENSDARG00000043249,irf1b
bf_00004715,ENSDARG00000056517,thoc3
bf_00012914,ENSDARG00000033965,nup58
bf_00015631,ENSDARG00000099920,zgc:163040
bf_00008710,ENSDARG00000020086,nuak1a
bf_00005088,ENSDARG00000054259,nat10
bf_00011204,ENSDARG00000061789,gnl1
bf_00022474,ENSDARG00000077047,ptprnb
bf_00017418,ENSDARG00000036593,kdm2ba
bf_00023847,ENSDARG00000031463,syt6b
bf_00017452,ENSDARG00000078803,gas2l1
bf_00021185,ENSDARG00000087545,fbxo42
bf_00015280,ENSDARG00000102353,ddx47
bf_00009759,ENSDARG00000063627,bop1
bf_00019739,ENSDARG00000038239,tnpo2
bf_00017538,ENSDARG00000059474,mlxip
bf_00022920,ENSDARG00000055970,zgc:136971
bf_00001976,ENSDARG00000022918,tbcc
bf_00016896,ENSDARG00000039534,rrh
bf_00023975,ENSDARG00000102725,CABZ01081909.1
bf_00004113,ENSDARG00000074750,qser1
bf_00002586,ENSDARG00000076590,atad2
bf_00019752,ENSDARG00000039217,orc1
bf_00004116,ENSDARG00000102226,gpr19
bf_00001646,ENSDARG00000002533,adora2b
bf_00017872,ENSDARG00000095538,senp3a
bf_00017923,ENSDARG00000087489,fam124b
bf_00013028,ENSDARG00000087333,scoca
bf_00022534,ENSDARG00000015088,dnajb11
bf_00003620,ENSDARG00000030832,otofa
bf_00002291,ENSDARG00000070843,arid3a
bf_00019187,ENSDARG00000024904,stil
bf_00014039,ENSDARG00000032056,arl6
bf_00009302,ENSDARG00000044135,cenpp
bf_00010272,ENSDARG00000092878,si:dkeyp-85e10.3
bf_00026410,ENSDARG00000100585,coa3a
bf_00007846,ENSDARG00000025340,tusc2b
bf_00015442,ENSDARG00000090202,rbm11
bf_00017873,ENSDARG00000038967,cul3a
bf_00001837,ENSDARG00000023236,kcnh1b
bf_00000246,ENSDARG00000077533,eif3f
bf_00006146,ENSDARG00000110357,txndc15
bf_00006249,ENSDARG00000092134,rad54b
bf_00014798,ENSDARG00000037574,rps6kal
bf_00022302,ENSDARG00000063297,abcb6a
bf_00008721,ENSDARG00000074905,camk1da
bf_00014849,ENSDARG00000093448,mpc1
bf_00012155,ENSDARG00000007092,xab2
bf_00002513,ENSDARG00000058725,rfesd
bf_00012083,ENSDARG00000039456,acbd6
bf_00000071,ENSDARG00000018110,pak4
bf_00017532,ENSDARG00000079414,sez6b
bf_00004880,ENSDARG00000040190,qdpra
bf_00000760,ENSDARG00000011863,ptk7a
bf_00000340,ENSDARG00000011496,ppm1bb
bf_00007654,ENSDARG00000062017,fsd1
bf_00013147,ENSDARG00000079064,CABZ01079080.1
bf_00009771,ENSDARG00000055395,foxq1b
bf_00012790,ENSDARG00000069865,grxcr1b
bf_00018160,ENSDARG00000069485,spryd7b
bf_00005201,ENSDARG00000019213,CTBP1
bf_00000020,ENSDARG00000043865,timm9
bf_00021881,ENSDARG00000009839,fam117bb
bf_00007572,ENSDARG00000077906,rnf165a
bf_00010555,ENSDARG00000093182,eif2ak1
bf_00018429,ENSDARG00000079352,sap130b
bf_00012510,ENSDARG00000012932,mat2b
bf_00007144,ENSDARG00000041450,rab11a
bf_00026452,ENSDARG00000101317,grinaa
bf_00012890,ENSDARG00000056624,vegfd
bf_00017439,ENSDARG00000051746,ada2a
bf_00011091,ENSDARG00000015111,ddx39ab
bf_00015714,ENSDARG00000102997,rrn3
bf_00000201,ENSDARG00000009689,daam1b
bf_00019586,ENSDARG00000079167,si:ch211-230g15.5
