QueryID,Symbol,Protein,Family,E.value,BitScore,annos
bf_00000274,CABZ01034082.1,ENSDARP00000136262,zf-C2H2,8.62536e-177,504.0,ZBTB14
bf_00012987,gsx1,,,,,Xlox
bf_00000281,cux1a,ENSDARP00000075613,CUT,4.0460900000000003e-126,421.0,CEP164
bf_00012987,gsx1,,,,,Xlox
bf_00000283,bach2a,ENSDARP00000127854,TF_bZIP,8.854349999999999e-51,183.0,Klhl24
bf_00012987,gsx2,,,,,Xlox
bf_00000304,arid4a,ENSDARP00000064411,ARID,2.95775e-59,221.0,EPRS
bf_00012987,gsx2,,,,,Xlox
bf_00000309,creb3l1,ENSDARP00000134652,TF_bZIP,7.432479999999999e-43,155.0,ARMH4
bf_00014843,nr2f2,,,,,NR2E1
bf_00000317,wdhd1,ENSDARP00000113096,HMG,1.0592699999999999e-45,171.0,WDR26
bf_00022839,sp9,,,,,"SP9,SP8"
bf_00000320,cicb,ENSDARP00000115789,HMG,6.37176e-46,177.0,Stk35
bf_00000910,foxg1a,,,,,FOXG1
bf_00000325,tbx6,ENSDARP00000015108,T-box,2.38482e-87,303.0,FAT4
bf_00000910,foxg1c,,,,,FOXG1
bf_00000336,bach2a,ENSDARP00000127854,TF_bZIP,1.4716e-53,192.0,Klhl11
bf_00000910,foxg1d,,,,,FOXG1
bf_00000351,kmt2cb,ENSDARP00000122949,HMG,1.46527e-114,394.0,"MAP3K11,MAP3K9,MAP3K10"
bf_00011689,lhx8a,,,,,LHX8
bf_00000352,si:ch73-347e22,ENSDARP00000136060,zf-C2H2,4.64458e-162,555.0,"PCNX2,PCNX1"
bf_00011689,lhx6,,,,,LHX8
bf_00000354,kmt2cb,ENSDARP00000122949,HMG,3.05389e-50,188.0,DZANK1
bf_00011689,lhx8b,,,,,LHX8
bf_00000356,stat5b,ENSDARP00000110501,STAT,1.64762e-41,160.0,DRC7
bf_00018055,arxa,,,,,ARX
bf_00000359,myod1,ENSDARP00000009713,bHLH,2.2404e-60,205.0,DCAF5
bf_00020899,emx2,,,,,"EMX1,EMX2"
bf_00000392,zbtb17,ENSDARP00000102422,ZBTB,3.3731100000000003e-44,163.0,Klhl42
bf_00020899,emx3,,,,,"EMX1,EMX2"
bf_00000398,znf576,ENSDARP00000128300,zf-C2H2,1.44316e-34,135.0,"VRK2,VRK1"
bf_00020900,emx1,,,,,emx1
bf_00000404,znf592,ENSDARP00000080685,zf-C2H2,2.09709e-58,217.0,"BUB1,BUB1B"
bf_00005528,emx3,,,,,Emx1
bf_00000406,srfa,ENSDARP00000070519,SRF,4.32644e-129,382.0,SRF
bf_00024930,eomesb,,,,,Eomes
bf_00000408,si:ch73-120g24,ENSDARP00000132268,zf-C2H2,2.01816e-69,235.0,Trim54
bf_00024930,tbr1b,,,,,Eomes
bf_00000409,BX005041.1,ENSDARP00000147614,zf-C2H2,2.8724900000000003e-63,228.0,RBM25
bf_00005980,tbr1b,,,,,"ENTPD1,ENTPD2,ENTPD8"
bf_00000411,baz2ba,ENSDARP00000126215,MBD,2.29274e-84,300.0,PLCB4
bf_00005980,tbr1a,,,,,"ENTPD1,ENTPD2,ENTPD8"
bf_00000412,baz2ba,ENSDARP00000126215,MBD,1.11728e-54,207.0,"PLCB1,PLCB3,PLCB2"
bf_00011455,barhl1b,,,,,BARHL1
bf_00000413,nfkb2,ENSDARP00000121285,RHD,3.86653e-34,128.0,Ppp1r27
bf_00011455,barhl1a,,,,,BARHL1
bf_00000428,zgc:66448,ENSDARP00000036300,zf-C2H2,5.7551e-65,226.0,CNST
bf_00026216,barhl2,,,,,BARHL1
bf_00000429,vsx2,ENSDARP00000038309,Homeobox,1.00367e-83,255.0,"VSX1,VSX2"
bf_00017972,sox14,,,,,SOX14
bf_00000430,nfe2l3,ENSDARP00000015027,TF_bZIP,1.50039e-27,114.0,SPATA7
bf_00026133,hoxa5a,,,,,"HOXB5,HOXA5"
bf_00000435,baz2a,ENSDARP00000139219,MBD,2.5637200000000003e-56,213.0,SYMPK
bf_00026133,hoxb5b,,,,,"HOXB5,HOXA5"
bf_00000438,znf511,ENSDARP00000001399,zf-C2H2,1.3798900000000002e-82,248.0,ZNF511
bf_00001814,msx3,,,,,MSX2
bf_00000441,ncor2,ENSDARP00000001475,MYB,4.78673e-52,192.0,"DCAF8L1,DCAF8L2,DCAF8"
bf_00005814,msx3,,,,,Msx
bf_00000449,CABZ01083862.1,ENSDARP00000144440,zf-C2H2,4.72755e-34,128.0,CCDC197
bf_00026129,hoxa2b,,,,,"HOXA2,HOXB2"
bf_00000454,kmt2cb,ENSDARP00000122949,HMG,7.98756e-62,230.0,"SOS1,SOS2"
bf_00005082,elf3,,,,,"ELF5,EHF"
bf_00000460,baz2ba,ENSDARP00000155414,MBD,4.91016e-52,179.0,CCDC86
bf_00016571,hnf1ba,,,,,"HNF1A,HNF1B"
bf_00000471,wdhd1,ENSDARP00000113096,HMG,9.469829999999999e-57,200.0,FBXW7
bf_00016571,hnf1a,,,,,"HNF1A,HNF1B"
bf_00000473,cicb,ENSDARP00000115789,HMG,1.66607e-53,196.0,BHMG1
bf_00016571,hnf1bb,,,,,"HNF1A,HNF1B"
bf_00000481,arid1ab,ENSDARP00000153725,ARID,2.7406499999999996e-65,241.0,NPHS1
bf_00009999,tbx20,,,,,TBX20
bf_00000484,ZXDC,ENSDARP00000126156,zf-C2H2,3.86647e-69,254.0,"MIA2,CTAGE8,CTAGE9,CTAGE4,CTAGE6,CTAGE15,CTAGE1"
bf_00005920,nkx2,,,,,Nk2-tin
bf_00000489,foxd3,ENSDARP00000107660,Fork_head,3.81982e-68,213.0,FoxQ2
bf_00024543,gata4,,,,,"GATA4,GATA5,GATA6"
bf_00000499,meis2b,ENSDARP00000034815,Homeobox,0.0,526.0,"MEIS1,MEIS2"
bf_00009950,irx4-a,,,,,IrxB
bf_00000513,aebp2,ENSDARP00000022060,zf-C2H2,6.0737399999999996e-49,176.0,SLC24A5
bf_00009947,irx4,,,,,irx4
bf_00000515,baz2ba,ENSDARP00000155414,MBD,1.29971e-80,268.0,DNAAF4
bf_00000359,myod1,,,,,DCAF5
bf_00000516,cux1a,ENSDARP00000075613,CUT,9.23542e-48,180.0,UTP25
bf_00024444,myog,,,,,Myod1
bf_00000527,neurod4,ENSDARP00000122926,bHLH,1.1809e-40,140.0,hlh-13
bf_00011415,nr3c2,,,,,Hr39
bf_00000537,smarca5,ENSDARP00000107618,MYB,0.0,636.0,INO80
bf_00009709,nr3c2,,,,,CPLANE1
bf_00000540,lef1,ENSDARP00000114249,HMG,3.45397e-59,206.0,ZNF318
bf_00026113,nfe2l1b,,,,,"NFE2,NFE2L2"
bf_00000542,deaf1,ENSDARP00000107236,SAND,6.1437e-24,103.0,Mss51
bf_00026113,nfe2l2a,,,,,"NFE2,NFE2L2"
bf_00000549,si:ch73-120g24,ENSDARP00000132268,zf-C2H2,2.9008199999999994e-51,187.0,"TRIM67,TRIM9"
bf_00008846,gata1a,,,,,GATA1_2_3
bf_00000551,si:ch73-120g24,ENSDARP00000132268,zf-C2H2,5.9004300000000005e-74,255.0,Trim63
bf_00005036,fli1b,,,,,SPIC
bf_00000552,si:ch73-120g24,ENSDARP00000132268,zf-C2H2,2.2434e-178,517.0,TRIM55
bf_00000863,atf3,,,,,FOS-FOX
bf_00000553,zbtb14,ENSDARP00000141581,ZBTB,6.87531e-56,194.0,Klhl24
bf_00001155,foxa2,,,,,FoxA-2
bf_00000554,zbtb33,ENSDARP00000096464,ZBTB,2.70202e-68,231.0,KLHL24
bf_00001153,foxa2,,,,,foxa2
bf_00000556,zbtb42,ENSDARP00000137374,ZBTB,1.17377e-59,201.0,KLHL24
bf_00001955,nkx2,,,,,Nkx2.1
bf_00000558,GMEB2,ENSDARP00000116102,SAND,3.80557e-74,246.0,"FERMT1,FERMT2"
bf_00017552,tbx5a,,,,,TBX5
bf_00000564,smarce1,ENSDARP00000024751,HMG,7.47328e-41,154.0,USP34
bf_00024543,gata4,,,,,"GATA4,GATA5,GATA6"
bf_00000569,nfkb2,ENSDARP00000121285,RHD,5.02181e-72,250.0,ANKEF1
bf_00024543,gata5,,,,,"GATA4,GATA5,GATA6"
bf_00000575,baz2ba,ENSDARP00000143831,MBD,5.655579999999999e-37,136.0,RRP36
bf_00024543,gata6,,,,,"GATA4,GATA5,GATA6"
bf_00000577,kmt2cb,ENSDARP00000122949,HMG,3.59841e-69,253.0,SF3B2
bf_00005082,elf3,,,,,"ELF5,EHF"
bf_00000583,myrf,ENSDARP00000104600,NDT80/PhoG,1.2044e-36,137.0,Plekhb2
bf_00006544,pitx1,,,,,Pitx
bf_00000600,prox1a,ENSDARP00000071943,HPD,0.0,827.0,"PROX1,PROX2"
bf_00017972,sox21b,,,,,SOX14
bf_00000608,hic2,ENSDARP00000137761,ZBTB,4.77408e-90,274.0,RRP15
bf_00017972,sox21a,,,,,SOX14
bf_00000611,nr3c2,ENSDARP00000130941,ESR-like,4.83009e-84,295.0,TTLL5
bf_00002338,nr2e3,,,,,NR2E3
bf_00000615,baz2ba,ENSDARP00000126215,MBD,2.4321700000000002e-70,254.0,Circumsporozoite protein
bf_00011636,nr2f1a,,,,,Nr2e3
bf_00000616,znf362b,ENSDARP00000084183,zf-C2H2,1.0708599999999999e-27,102.0,ttcA
bf_00005920,nkx2,,,,,Nk2-tin
bf_00000621,arid4a,ENSDARP00000064411,ARID,1.24954e-67,244.0,MRPS10
bf_00012984,cdx1b,,,,,Cdx
bf_00000626,wdhd1,ENSDARP00000113096,HMG,5.86987e-59,215.0,EML1
bf_00010154,hnf4g,,,,,"HNF4A,HNF4G"
bf_00000629,kmt2cb,ENSDARP00000122949,HMG,6.55247e-49,188.0,"PHF7,G2E3"
bf_00014180,rfx6,,,,,RFX6
bf_00000658,arid1b,ENSDARP00000119606,ARID,7.35799e-95,321.0,CCNK
bf_00014954,rfx6,,,,,rfx6
bf_00000668,zgc:66448,ENSDARP00000036300,zf-C2H2,5.1004e-47,169.0,stum
bf_00000669,arid1ab,ENSDARP00000153725,ARID,3.68635e-43,163.0,HNRNPL
bf_00000679,rest,ENSDARP00000136293,zf-C2H2,7.24187e-77,268.0,NEMF
bf_00000703,usf1,ENSDARP00000002107,bHLH,2.11744e-107,314.0,"USF1,USF2"
bf_00000704,sall2,ENSDARP00000148781,zf-C2H2,5.4447e-131,439.0,USF3
bf_00000706,cicb,ENSDARP00000115789,HMG,9.33296e-176,591.0,CIC
bf_00000709,kmt2cb,ENSDARP00000122949,HMG,8.93698e-23,102.0,FCN1
bf_00000716,baz2ba,ENSDARP00000155414,MBD,2.8977000000000004e-41,151.0,DNAJC17
bf_00000733,cux1a,ENSDARP00000075613,CUT,8.47113e-86,294.0,SDCCAG8
bf_00000734,rest,ENSDARP00000136293,zf-C2H2,7.76416e-111,368.0,"CEP170B,CEP170"
bf_00000736,smarcc2,ENSDARP00000099015,MYB,4.73729e-41,160.0,Coadhesin
bf_00000737,wdhd1,ENSDARP00000113096,HMG,1.32968e-95,308.0,FBXW2
bf_00000742,arid4a,ENSDARP00000064411,ARID,4.5643e-71,249.0,"PAPOLG,PAPOLB,PAPOLA"
bf_00000745,zgc:66448,ENSDARP00000036300,zf-C2H2,9.491059999999999e-52,182.0,PSMD8
bf_00000749,arid1b,ENSDARP00000119606,ARID,8.17979e-80,286.0,"PPP1R13B,TP53BP2,PPP1R13L"
bf_00000758,kmt2cb,ENSDARP00000122949,HMG,1.7297299999999998e-49,176.0,NUP35
bf_00000763,baz2ba,ENSDARP00000155414,MBD,3.9747100000000003e-28,116.0,RNF8
bf_00000768,zbtb16b,ENSDARP00000128866,ZBTB,1.5892099999999998e-51,187.0,klhl31
bf_00000795,zgc:158366,ENSDARP00000155751,zf-C2H2,2.02465e-40,139.0,bf_00000795
bf_00000798,setdb1a,ENSDARP00000060441,MBD,9.83703e-60,214.0,NUSAP1
bf_00000812,znf1030,ENSDARP00000138279,zf-C2H2,0.0,527.0,ZNF410
bf_00000820,srebf1,ENSDARP00000087097,bHLH,5.779620000000001e-41,161.0,ADCY10
bf_00000824,rerea,ENSDARP00000102789,zf-GATA,8.39789e-30,118.0,NAA80
bf_00000828,wdhd1,ENSDARP00000113096,HMG,1.6845899999999998e-52,194.0,DTL
bf_00000830,mta3,ENSDARP00000109572,zf-GATA,0.0,806.0,"MTA3,MTA1"
bf_00000834,zfp36l1a,ENSDARP00000025205,zf-CCCH,5.4073e-111,327.0,ZFP36L1
bf_00000848,thap12a,ENSDARP00000062308,THAP,8.32524e-44,150.0,Thap12
bf_00000852,cicb,ENSDARP00000115789,HMG,1.00061e-55,202.0,SYVN1
bf_00000861,baz2a,ENSDARP00000139219,MBD,9.35308e-103,364.0,BAZ1A
bf_00000863,atf3,ENSDARP00000027550,TF_bZIP,3.87471e-42,136.0,FOS-FOX
bf_00000864,fosab,ENSDARP00000043297,TF_bZIP,2.5481e-42,147.0,ATF3
bf_00000865,fosab,ENSDARP00000043297,TF_bZIP,2.26255e-67,213.0,fos
bf_00000869,cux1a,ENSDARP00000075613,CUT,1.93353e-109,379.0,"NIN,NINL"
bf_00000872,mlxip,ENSDARP00000115267,bHLH,6.2594e-85,297.0,CENPF
bf_00000876,npas4a,ENSDARP00000072616,bHLH,2.26222e-150,465.0,NPAS4
bf_00000877,fosab,ENSDARP00000043297,TF_bZIP,8.84266e-34,120.0,fos
bf_00000879,fosaa,ENSDARP00000135189,TF_bZIP,3.8112e-63,216.0,"SIPA1,SIPA1L1,SIPA1L2"
bf_00000881,mynn,ENSDARP00000016471,ZBTB,5.40675e-46,167.0,MTHFSD
bf_00000903,zbtb22a,ENSDARP00000015726,ZBTB,1.2560200000000001e-69,227.0,KLHL23
bf_00000904,BX890597.3,ENSDARP00000146897,RHD,6.80346e-65,220.0,Ankrd61
bf_00000907,baz2a,ENSDARP00000139219,MBD,2.16206e-90,322.0,CLSPN
bf_00000910,foxg1a,ENSDARP00000094979,Fork_head,1.4167600000000001e-114,338.0,FOXG1
bf_00000913,cux1a,ENSDARP00000150637,CUT,1.31977e-68,243.0,KIFC1
bf_00000914,arid4a,ENSDARP00000064411,ARID,6.81454e-56,209.0,nav3
bf_00000920,arid4a,ENSDARP00000064411,ARID,3.59186e-81,283.0,ARHGEF33
bf_00000927,setdb1a,ENSDARP00000060441,MBD,1.5757899999999998e-79,287.0,STON2
bf_00000928,cux1a,ENSDARP00000075613,CUT,7.0717299999999995e-103,353.0,CEP128
bf_00000934,max,ENSDARP00000046034,bHLH,2.06757e-48,158.0,Fcn2
bf_00000935,nfat5a,ENSDARP00000006495,RHD,2.1461199999999997e-49,183.0,FCN1
bf_00000938,rest,ENSDARP00000136293,zf-C2H2,3.4660800000000003e-82,268.0,NEK2
bf_00000939,smad1,ENSDARP00000030150,MH1,1.33068e-42,150.0,"ATXN3L,ATXN3"
bf_00000943,si:dkey-222b8,ENSDARP00000120222,MH1,2.6782900000000003e-34,136.0,MPP5
bf_00000949,nfkb2,ENSDARP00000121285,RHD,4.95111e-109,337.0,NFKBIE
bf_00000952,arid1ab,ENSDARP00000153725,ARID,1.42411e-113,392.0,WDR25
bf_00000953,zgc:66448,ENSDARP00000036300,zf-C2H2,1.2791699999999999e-37,150.0,TJAP1
bf_00000955,arid1ab,ENSDARP00000153725,ARID,1.65747e-78,272.0,"MARK4,MARK3,MARK1,MARK2"
bf_00000965,zbtb8b,ENSDARP00000094186,ZBTB,1.61628e-42,157.0,BTBD9
bf_00000975,atf7b,ENSDARP00000094817,TF_bZIP,5.05723e-42,151.0,eys
bf_00000985,rest,ENSDARP00000136293,zf-C2H2,2.16039e-91,316.0,SPTBN5
bf_00001002,baz2ba,ENSDARP00000101556,MBD,5.4960899999999995e-71,241.0,TACC3
bf_00001004,mgaa,ENSDARP00000122330,T-box,6.67913e-97,317.0,CDC42BPB
bf_00001007,dnajc1,ENSDARP00000073973,MYB,1.4656100000000001e-30,115.0,Dnajc4
bf_00001008,hoxa9b,ENSDARP00000073839,Homeobox,1.46001e-47,156.0,ceh-9
bf_00001013,smad2,ENSDARP00000044755,MH1,2.05507e-42,155.0,LRP11
bf_00001016,CABZ01034082.1,ENSDARP00000136262,zf-C2H2,1.45307e-146,411.0,ZFP69B
bf_00001017,nfkb2,ENSDARP00000121285,RHD,1.5696700000000002e-76,271.0,invs
bf_00001021,pbrm1l,ENSDARP00000094248,HMG,1.10724e-39,155.0,BAHD1
bf_00001024,lrrfip1a,ENSDARP00000092350,LRRFIP,2.55786e-49,180.0,Traf3
bf_00001026,CABZ01083862.1,ENSDARP00000144440,zf-C2H2,1.7396599999999999e-31,124.0,SART1
bf_00001027,nfkb2,ENSDARP00000121285,RHD,8.41159e-87,286.0,"ASB14,ASB15"
bf_00001029,rest,ENSDARP00000136293,zf-C2H2,5.77248e-58,206.0,RBM34
bf_00001030,tomm20a,ENSDARP00000107839,ARID,0.0,848.0,ARID4B
bf_00001035,nfkb2,ENSDARP00000121285,RHD,2.8669199999999997e-51,192.0,Tnks
bf_00001036,kmt2cb,ENSDARP00000122949,HMG,8.89519e-67,245.0,Hhipl2
bf_00001047,snapc4,ENSDARP00000088244,MYB,9.23299e-54,205.0,Ttn
bf_00001048,cicb,ENSDARP00000115789,HMG,1.45207e-77,265.0,"NUMBL,NUMB"
bf_00001049,si:ch211-262i1,ENSDARP00000093294,THAP,1.7884200000000002e-70,222.0,PRKAB2
bf_00001054,bach2b,ENSDARP00000116013,TF_bZIP,1.7358000000000002e-41,160.0,LZTR1
bf_00001056,znf1026,ENSDARP00000144923,zf-C2H2,0.0,980.0,PRDM10
bf_00001058,setdb1a,ENSDARP00000060441,MBD,5.8300799999999996e-89,317.0,63 kDa sperm flagellar membrane protein
bf_00001062,mnx2a,ENSDARP00000061715,Homeobox,1.49996e-47,155.0,BSX
